Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2018","2018","kcal/capita/day","2253","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","661","Food supply (kcal)","S2903","Vegetal Products","2018","2018","million kcal","7012083","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2018","2018","g/capita/day","36.07","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","671","Protein supply quantity (g)","S2903","Vegetal Products","2018","2018","g","112252","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","684","Fat supply quantity (g/capita/day)","S2903","Vegetal Products","2018","2018","g/capita/day","69.2","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","681","Fat supply quantity (g)","S2903","Vegetal Products","2018","2018","g","215344","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","664","Food supply (kcal/capita/day)","S2941","Animal Products","2018","2018","kcal/capita/day","1125","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","661","Food supply (kcal)","S2941","Animal Products","2018","2018","million kcal","3502371.14","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2018","2018","g/capita/day","61.29","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","671","Protein supply quantity (g)","S2941","Animal Products","2018","2018","g","190747.69","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","684","Fat supply quantity (g/capita/day)","S2941","Animal Products","2018","2018","g/capita/day","88.71","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","681","Fat supply quantity (g)","S2941","Animal Products","2018","2018","g","276060.82","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","882","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5611","Import Quantity","S2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","1120","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","-2","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","S2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","83","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5301","Domestic supply quantity","S2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","1921","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5521","Feed","S2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","888","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5527","Seed","S2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","26","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","26","E","Estimated value"
