Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2905","Cereals - Excluding Beer","2010","2010","1000 tonnes","73","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2905","Cereals - Excluding Beer","2011","2011","1000 tonnes","79","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2905","Cereals - Excluding Beer","2012","2012","1000 tonnes","50","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2905","Cereals - Excluding Beer","2013","2013","1000 tonnes","51","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2905","Cereals - Excluding Beer","2014","2014","1000 tonnes","80","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2905","Cereals - Excluding Beer","2015","2015","1000 tonnes","78","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2905","Cereals - Excluding Beer","2016","2016","1000 tonnes","78","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","76","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","83","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2905","Cereals - Excluding Beer","2019","2019","1000 tonnes","86","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2905","Cereals - Excluding Beer","2020","2020","1000 tonnes","84","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2907","Starchy Roots","2010","2010","1000 tonnes","1","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2907","Starchy Roots","2011","2011","1000 tonnes","1","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2907","Starchy Roots","2012","2012","1000 tonnes","2","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2907","Starchy Roots","2013","2013","1000 tonnes","5","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2907","Starchy Roots","2014","2014","1000 tonnes","5","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2907","Starchy Roots","2015","2015","1000 tonnes","5","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2907","Starchy Roots","2016","2016","1000 tonnes","5","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2907","Starchy Roots","2017","2017","1000 tonnes","9","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2907","Starchy Roots","2018","2018","1000 tonnes","7","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2907","Starchy Roots","2019","2019","1000 tonnes","10","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2907","Starchy Roots","2020","2020","1000 tonnes","9","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2908","Sugar Crops","2010","2010","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2908","Sugar Crops","2011","2011","1000 tonnes","0","E","Estimated value"
