Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","756","Switzerland","5111","Stocks","02132","Asses","2018","2018","Head","34028","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5114","Stocks","02196","Bees","2018","2018","No","179704","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","22241.01","Butter of cow milk","2018","2018","tonnes","44265","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","22230.04","Buttermilk, dry","2018","2018","tonnes","425.15","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5111","Stocks","02111","Cattle","2018","2018","Head","1543345","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21512","Cattle fat, unrendered","2018","2018","tonnes","13427","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2018","2018","Head","628644","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","22251.02","Cheese from skimmed cow milk","2018","2018","tonnes","19708.95","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","22251.01","Cheese from whole cow milk","2018","2018","tonnes","191321","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5112","Stocks","02151","Chickens","2018","2018","1000 Head","11535","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","22120","Cream, fresh","2018","2018","tonnes","37494.75","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5112","Stocks","02154","Ducks","2018","2018","1000 Head","4","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2018","2018","tonnes","23291.73","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21151","Edible offal of cattle, fresh, chilled or frozen","2018","2018","Head","628644","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2018","2018","tonnes","82.08","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21156","Edible offal of goat, fresh, chilled or frozen","2018","2018","Head","39431","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21153","Edible offal of pigs, fresh, chilled or frozen","2018","2018","tonnes","8883.96","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21153","Edible offal of pigs, fresh, chilled or frozen","2018","2018","Head","2568789","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2018","2018","tonnes","556.7","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21155","Edible offal of sheep, fresh, chilled or frozen","2018","2018","Head","242943","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21159.01","Edible offals of horses and other equines,  fresh, chilled or frozen","2018","2018","tonnes","51.93","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21159.01","Edible offals of horses and other equines,  fresh, chilled or frozen","2018","2018","Head","2179","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21511.01","Fat of pigs","2018","2018","tonnes","11845.28","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21511.01","Fat of pigs","2018","2018","Head","2568789","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21170.02","Game meat, fresh, chilled or frozen","2018","2018","tonnes","1938","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5112","Stocks","02153","Geese","2018","2018","1000 Head","3","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21515","Goat fat, unrendered","2018","2018","tonnes","18.38","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21515","Goat fat, unrendered","2018","2018","Head","39431","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5111","Stocks","02123","Goats","2018","2018","Head","80552","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5410","Yield","0231","Hen eggs in shell, fresh","2018","2018","100mg/An","179911","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5413","Yield","0231","Hen eggs in shell, fresh","2018","2018","No/An","299","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","0231","Hen eggs in shell, fresh","2018","2018","tonnes","60648","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5513","Production","0231","Hen eggs in shell, fresh","2018","2018","1000 No","1006757","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5313","Laying","0231","Hen eggs in shell, fresh","2018","2018","1000 Head","3371","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5417","Yield/Carcass Weight","21118.01","Horse meat, fresh or chilled","2018","2018","hg/An","2341","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21118.01","Horse meat, fresh or chilled","2018","2018","tonnes","510","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21118.01","Horse meat, fresh or chilled","2018","2018","Head","2179","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5111","Stocks","02131","Horses","2018","2018","Head","45906","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","hg/An","2354","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","tonnes","147971","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","Head","628644","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5424","Yield/Carcass Weight","21121","Meat of chickens, fresh or chilled","2018","2018","0.1g/An","13416","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21121","Meat of chickens, fresh or chilled","2018","2018","tonnes","98900","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2018","2018","1000 Head","73719","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5417","Yield/Carcass Weight","21116","Meat of goat, fresh or chilled","2018","2018","hg/An","137","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21116","Meat of goat, fresh or chilled","2018","2018","tonnes","539","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2018","2018","Head","39431","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5417","Yield/Carcass Weight","21113.01","Meat of pig with the bone, fresh or chilled","2018","2018","hg/An","899","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2018","2018","tonnes","230983","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21113.01","Meat of pig with the bone, fresh or chilled","2018","2018","Head","2568789","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5424","Yield/Carcass Weight","21114","Meat of rabbits and hares, fresh or chilled","2018","2018","0.1g/An","7884","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21114","Meat of rabbits and hares, fresh or chilled","2018","2018","tonnes","827","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5321","Producing Animals/Slaughtered","21114","Meat of rabbits and hares, fresh or chilled","2018","2018","1000 Head","1049","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5417","Yield/Carcass Weight","21115","Meat of sheep, fresh or chilled","2018","2018","hg/An","229","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21115","Meat of sheep, fresh or chilled","2018","2018","tonnes","5567","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2018","2018","Head","242943","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5424","Yield/Carcass Weight","21124","Meat of turkeys, fresh or chilled","2018","2018","0.1g/An","53098","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21124","Meat of turkeys, fresh or chilled","2018","2018","tonnes","1932","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5321","Producing Animals/Slaughtered","21124","Meat of turkeys, fresh or chilled","2018","2018","1000 Head","364","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5111","Stocks","02133","Mules and hinnies","2018","2018","Head","752","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","02910","Natural honey","2018","2018","tonnes","4005","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","21521","Pig fat, rendered","2018","2018","tonnes","7281.6","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5112","Stocks","02191","Rabbits and hares","2018","2018","1000 Head","62","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5420","Yield","02951.01","Raw hides and skins of cattle","2018","2018","hg/An","296","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","02951.01","Raw hides and skins of cattle","2018","2018","tonnes","18633.39","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","02951.01","Raw hides and skins of cattle","2018","2018","Head","628644","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5420","Yield","02954","Raw hides and skins of goats or kids","2018","2018","hg/An","13","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","02954","Raw hides and skins of goats or kids","2018","2018","tonnes","51.45","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2018","2018","Head","39431","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5420","Yield","02953","Raw hides and skins of sheep or lambs","2018","2018","hg/An","40","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","02953","Raw hides and skins of sheep or lambs","2018","2018","tonnes","974.23","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2018","2018","Head","242943","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5420","Yield","02211","Raw milk of cattle","2018","2018","hg/An","69356","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","02211","Raw milk of cattle","2018","2018","tonnes","3913000","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5318","Milk Animals","02211","Raw milk of cattle","2018","2018","Head","564190","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5420","Yield","02292","Raw milk of goats","2018","2018","hg/An","6301","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","02292","Raw milk of goats","2018","2018","tonnes","23200","A","Official figure"
