Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2740","Butter, Ghee","2010","2010","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2740","Butter, Ghee","2011","2011","1000 tonnes","10","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2740","Butter, Ghee","2012","2012","1000 tonnes","11","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2740","Butter, Ghee","2013","2013","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2740","Butter, Ghee","2014","2014","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2740","Butter, Ghee","2015","2015","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2740","Butter, Ghee","2016","2016","1000 tonnes","5","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2740","Butter, Ghee","2017","2017","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2740","Butter, Ghee","2018","2018","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2740","Butter, Ghee","2019","2019","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2740","Butter, Ghee","2020","2020","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2743","Cream","2010","2010","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2743","Cream","2011","2011","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2743","Cream","2012","2012","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2743","Cream","2013","2013","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2743","Cream","2014","2014","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2743","Cream","2015","2015","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2743","Cream","2016","2016","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2743","Cream","2017","2017","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2743","Cream","2018","2018","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2743","Cream","2019","2019","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2743","Cream","2020","2020","1000 tonnes","2","I","Imputed value"
