Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","250","France","5419","Yield","01371","Almonds, in shell","2018","2018","100 g/ha","9262","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01341","Apples","2018","2018","100 g/ha","344351","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01343","Apricots","2018","2018","100 g/ha","92005","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01216","Artichokes","2018","2018","100 g/ha","75383","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01211","Asparagus","2018","2018","100 g/ha","46161","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01311","Avocados","2018","2018","100 g/ha","102500","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01312","Bananas","2018","2018","100 g/ha","254333","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","0115","Barley","2018","2018","100 g/ha","62460","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01355.01","Blueberries","2018","2018","100 g/ha","38140","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01702","Broad beans and horse beans, dry","2018","2018","100 g/ha","24909","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01243","Broad beans and horse beans, green","2018","2018","100 g/ha","60843","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01212","Cabbages","2018","2018","100 g/ha","224234","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01229","Cantaloupes and other melons","2018","2018","100 g/ha","190231","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01251","Carrots and turnips","2018","2018","100 g/ha","433433","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01213","Cauliflowers and broccoli","2018","2018","100 g/ha","150513","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01199.90","Cereals n.e.c.","2018","2018","100 g/ha","32405","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01344.02","Cherries","2018","2018","100 g/ha","39959","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01373","Chestnuts, in shell","2018","2018","100 g/ha","10259","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","2018","100 g/ha","332737","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01232","Cucumbers and gherkins","2018","2018","100 g/ha","765833","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01351.01","Currants","2018","2018","100 g/ha","40483","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01233","Eggplants (aubergines)","2018","2018","100 g/ha","399875","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01315","Figs","2018","2018","100 g/ha","75909","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","26190.01","Flax, processed but not spun","2018","2018","100 g/ha","65038","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01330","Grapes","2018","2018","100 g/ha","83502","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01290.01","Green corn (maize)","2018","2018","100 g/ha","202582","A","Official figure"
"QCL","Crops and livestock products","250","France","5419","Yield","01252","Green garlic","2018","2018","100 g/ha","70845","A","Official figure"
