Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01341","Apples","2018","2018","ha","3786","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01341","Apples","2018","2018","hg/ha","783883","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01341","Apples","2018","2018","tonnes","296778","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01343","Apricots","2018","2018","ha","739","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01343","Apricots","2018","2018","hg/ha","127104","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01343","Apricots","2018","2018","tonnes","9393","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01216","Artichokes","2018","2018","ha","6","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01216","Artichokes","2018","2018","hg/ha","1667","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01216","Artichokes","2018","2018","tonnes","1","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01211","Asparagus","2018","2018","ha","393","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01211","Asparagus","2018","2018","hg/ha","18117","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01211","Asparagus","2018","2018","tonnes","712","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","0115","Barley","2018","2018","ha","27897","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","0115","Barley","2018","2018","hg/ha","64863","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","0115","Barley","2018","2018","tonnes","180948","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01701","Beans, dry","2018","2018","ha","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01701","Beans, dry","2018","2018","tonnes","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01355.01","Blueberries","2018","2018","ha","93","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01355.01","Blueberries","2018","2018","hg/ha","39355","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01355.01","Blueberries","2018","2018","tonnes","366","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01702","Broad beans and horse beans, dry","2018","2018","ha","1003","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01702","Broad beans and horse beans, dry","2018","2018","hg/ha","26062","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01702","Broad beans and horse beans, dry","2018","2018","tonnes","2614","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01243","Broad beans and horse beans, green","2018","2018","ha","27","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01243","Broad beans and horse beans, green","2018","2018","hg/ha","17037","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01243","Broad beans and horse beans, green","2018","2018","tonnes","46","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01212","Cabbages","2018","2018","ha","1083","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01212","Cabbages","2018","2018","hg/ha","299908","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01212","Cabbages","2018","2018","tonnes","32480","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01229","Cantaloupes and other melons","2018","2018","ha","2","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01229","Cantaloupes and other melons","2018","2018","hg/ha","5000","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01229","Cantaloupes and other melons","2018","2018","tonnes","1","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01251","Carrots and turnips","2018","2018","ha","2109","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01251","Carrots and turnips","2018","2018","hg/ha","331726","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01251","Carrots and turnips","2018","2018","tonnes","69961","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01213","Cauliflowers and broccoli","2018","2018","ha","1482","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01213","Cauliflowers and broccoli","2018","2018","hg/ha","98212","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01213","Cauliflowers and broccoli","2018","2018","tonnes","14555","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01199.90","Cereals n.e.c.","2018","2018","ha","41","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01199.90","Cereals n.e.c.","2018","2018","hg/ha","21220","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01199.90","Cereals n.e.c.","2018","2018","tonnes","87","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01344.02","Cherries","2018","2018","ha","587","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01344.02","Cherries","2018","2018","hg/ha","194055","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01344.02","Cherries","2018","2018","tonnes","11391","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01373","Chestnuts, in shell","2018","2018","ha","200","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01373","Chestnuts, in shell","2018","2018","hg/ha","8850","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01373","Chestnuts, in shell","2018","2018","tonnes","177","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","2018","ha","21","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","2018","hg/ha","503333","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","2018","tonnes","1057","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01232","Cucumbers and gherkins","2018","2018","ha","92","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01232","Cucumbers and gherkins","2018","2018","hg/ha","1468587","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01232","Cucumbers and gherkins","2018","2018","tonnes","13511","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01351.01","Currants","2018","2018","ha","6","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01351.01","Currants","2018","2018","hg/ha","106667","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01351.01","Currants","2018","2018","tonnes","64","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01351.02","Gooseberries","2018","2018","ha","48","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01351.02","Gooseberries","2018","2018","hg/ha","110417","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01351.02","Gooseberries","2018","2018","tonnes","530","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01330","Grapes","2018","2018","ha","14712","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01330","Grapes","2018","2018","hg/ha","95665","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01330","Grapes","2018","2018","tonnes","140742","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01290.01","Green corn (maize)","2018","2018","ha","203","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01290.01","Green corn (maize)","2018","2018","hg/ha","22512","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01290.01","Green corn (maize)","2018","2018","tonnes","457","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01252","Green garlic","2018","2018","ha","49","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01252","Green garlic","2018","2018","hg/ha","10408","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01252","Green garlic","2018","2018","tonnes","51","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01659","Hop cones","2018","2018","ha","20","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01659","Hop cones","2018","2018","hg/ha","14500","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01659","Hop cones","2018","2018","tonnes","29","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01352","Kiwi fruit","2018","2018","ha","19","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01352","Kiwi fruit","2018","2018","hg/ha","249474","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01352","Kiwi fruit","2018","2018","tonnes","474","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01254","Leeks and other alliaceous vegetables","2018","2018","ha","461","A","Official figure"
