Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2511","Wheat and products","2018","2018","1000 tonnes","19","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2513","Barley and products","2018","2018","1000 tonnes","60","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2514","Maize and products","2018","2018","1000 tonnes","12","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2531","Potatoes and products","2018","2018","1000 tonnes","6","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2537","Sugar beet","2018","2018","1000 tonnes","1215","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2542","Sugar (Raw Equivalent)","2018","2018","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2547","Peas","2018","2018","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2555","Soyabeans","2018","2018","1000 tonnes","18","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2552","Groundnuts","2018","2018","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2557","Sunflower seed","2018","2018","1000 tonnes","22","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2558","Rape and Mustardseed","2018","2018","1000 tonnes","75","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2562","Palm kernels","2018","2018","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2570","Oilcrops, Other","2018","2018","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2573","Sunflowerseed Oil","2018","2018","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2574","Rape and Mustard Oil","2018","2018","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2576","Palmkernel Oil","2018","2018","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2577","Palm Oil","2018","2018","1000 tonnes","15","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2582","Maize Germ Oil","2018","2018","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2611","Oranges, Mandarines","2018","2018","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2612","Lemons, Limes and products","2018","2018","1000 tonnes","11","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2613","Grapefruit and products","2018","2018","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2617","Apples and products","2018","2018","1000 tonnes","79","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2618","Pineapples and products","2018","2018","1000 tonnes","10","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2620","Grapes and products (excl wine)","2018","2018","1000 tonnes","143","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2625","Fruits, other","2018","2018","1000 tonnes","9","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2633","Cocoa Beans and products","2018","2018","1000 tonnes","38","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2731","Bovine Meat","2018","2018","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2733","Pigmeat","2018","2018","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2743","Cream","2018","2018","1000 tonnes","37","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2848","Milk - Excluding Butter","2018","2018","1000 tonnes","799","I","Imputed value"
