Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2511","Wheat and products","2018","2018","1000 tonnes","-22","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2807","Rice and products","2018","2018","1000 tonnes","4","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2513","Barley and products","2018","2018","1000 tonnes","14","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2514","Maize and products","2018","2018","1000 tonnes","-2","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2515","Rye and products","2018","2018","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2516","Oats","2018","2018","1000 tonnes","3","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2517","Millet and products","2018","2018","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2518","Sorghum and products","2018","2018","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2520","Cereals, Other","2018","2018","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2531","Potatoes and products","2018","2018","1000 tonnes","-50","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2533","Sweet potatoes","2018","2018","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2535","Yams","2018","2018","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2534","Roots, Other","2018","2018","1000 tonnes","0","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2537","Sugar beet","2018","2018","1000 tonnes","484","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2542","Sugar (Raw Equivalent)","2018","2018","1000 tonnes","-56","I","Imputed value"
