Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2655","Wine","2010","2010","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2655","Wine","2011","2011","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2655","Wine","2012","2012","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2655","Wine","2013","2013","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2655","Wine","2014","2014","1000 tonnes","2","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2655","Wine","2015","2015","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2655","Wine","2016","2016","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2655","Wine","2017","2017","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2655","Wine","2018","2018","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2655","Wine","2019","2019","1000 tonnes","1","I","Imputed value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","F2655","Wine","2020","2020","1000 tonnes","1","I","Imputed value"
