Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01341","Apples","2012","2012","100 g/ha","564418","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01343","Apricots","2012","2012","100 g/ha","126340","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01216","Artichokes","2012","2012","100 g/ha","10000","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01211","Asparagus","2012","2012","100 g/ha","14911","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","0115","Barley","2012","2012","100 g/ha","64715","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01355.01","Blueberries","2012","2012","100 g/ha","50152","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01702","Broad beans and horse beans, dry","2012","2012","100 g/ha","31016","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01243","Broad beans and horse beans, green","2012","2012","100 g/ha","78571","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01212","Cabbages","2012","2012","100 g/ha","353785","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01229","Cantaloupes and other melons","2012","2012","100 g/ha","12857","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01251","Carrots and turnips","2012","2012","100 g/ha","400668","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01213","Cauliflowers and broccoli","2012","2012","100 g/ha","134569","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01199.90","Cereals n.e.c.","2012","2012","100 g/ha","32299","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01344.02","Cherries","2012","2012","100 g/ha","87321","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01373","Chestnuts, in shell","2012","2012","100 g/ha","13150","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2012","2012","100 g/ha","215000","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01232","Cucumbers and gherkins","2012","2012","100 g/ha","1309885","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01351.01","Currants","2012","2012","100 g/ha","132941","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01351.02","Gooseberries","2012","2012","100 g/ha","134000","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01330","Grapes","2012","2012","100 g/ha","85223","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01290.01","Green corn (maize)","2012","2012","100 g/ha","118528","A","Official figure"
