Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2010","2010","1000 tonnes","924","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2011","2011","1000 tonnes","972","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2012","2012","1000 tonnes","922","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2013","2013","1000 tonnes","838","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2014","2014","1000 tonnes","994","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2015","2015","1000 tonnes","910","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2016","2016","1000 tonnes","744","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","977","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","882","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2019","2019","1000 tonnes","930","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2905","Cereals - Excluding Beer","2020","2020","1000 tonnes","1008","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2010","2010","1000 tonnes","64","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2011","2011","1000 tonnes","51","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2012","2012","1000 tonnes","80","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2013","2013","1000 tonnes","87","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2014","2014","1000 tonnes","30","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2015","2015","1000 tonnes","26","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2016","2016","1000 tonnes","35","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","30","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","26","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2019","2019","1000 tonnes","29","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2905","Cereals - Excluding Beer","2020","2020","1000 tonnes","30","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2907","Starchy Roots","2010","2010","1000 tonnes","421","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2907","Starchy Roots","2011","2011","1000 tonnes","515","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2907","Starchy Roots","2012","2012","1000 tonnes","447","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2907","Starchy Roots","2013","2013","1000 tonnes","360","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2907","Starchy Roots","2014","2014","1000 tonnes","504","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2907","Starchy Roots","2015","2015","1000 tonnes","389","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2907","Starchy Roots","2016","2016","1000 tonnes","373","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2907","Starchy Roots","2017","2017","1000 tonnes","459","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2907","Starchy Roots","2018","2018","1000 tonnes","448","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2907","Starchy Roots","2019","2019","1000 tonnes","414","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2907","Starchy Roots","2020","2020","1000 tonnes","490","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2010","2010","1000 tonnes","20","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2011","2011","1000 tonnes","32","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2012","2012","1000 tonnes","14","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2013","2013","1000 tonnes","15","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2014","2014","1000 tonnes","24","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2015","2015","1000 tonnes","18","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2016","2016","1000 tonnes","17","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2017","2017","1000 tonnes","22","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2018","2018","1000 tonnes","20","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2019","2019","1000 tonnes","18","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2907","Starchy Roots","2020","2020","1000 tonnes","22","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2908","Sugar Crops","2010","2010","1000 tonnes","1302","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2908","Sugar Crops","2011","2011","1000 tonnes","1828","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2908","Sugar Crops","2012","2012","1000 tonnes","1673","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2908","Sugar Crops","2013","2013","1000 tonnes","1376","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2908","Sugar Crops","2014","2014","1000 tonnes","1924","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2908","Sugar Crops","2015","2015","1000 tonnes","1356","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2908","Sugar Crops","2016","2016","1000 tonnes","1277","E","Estimated value"
